uppercase_file,lowercase_file,action,keep_file,delete_file,reason,uppercase_time,lowercase_time,uppercase_size,lowercase_size,size_diff
docs/htm/L1/XI2678.HTM,docs/htm/L1/XI2678.htm,keep_lowercase,docs/htm/L1/XI2678.htm,docs/htm/L1/XI2678.HTM,lowercase newer (2025-09-23 17:13:35.788520 vs 2025-09-23 10:31:40.810611),2025-09-23T10:31:40.810611,2025-09-23T17:13:35.788520,2445,2075,370
docs/htm/L1/XI2528.HTM,docs/htm/L1/XI2528.htm,keep_lowercase,docs/htm/L1/XI2528.htm,docs/htm/L1/XI2528.HTM,lowercase newer (2025-09-23 17:13:35.780328 vs 2025-09-23 10:31:40.806733),2025-09-23T10:31:40.806733,2025-09-23T17:13:35.780328,2418,2048,370
docs/htm/L1/XI2598.HTM,docs/htm/L1/XI2598.htm,keep_lowercase,docs/htm/L1/XI2598.htm,docs/htm/L1/XI2598.HTM,lowercase newer (2025-09-23 17:13:35.784424 vs 2025-09-23 10:31:40.806733),2025-09-23T10:31:40.806733,2025-09-23T17:13:35.784424,2411,2041,370
docs/htm/L1/XI2488.HTM,docs/htm/L1/XI2488.htm,keep_lowercase,docs/htm/L1/XI2488.htm,docs/htm/L1/XI2488.HTM,lowercase newer (2025-09-23 17:13:35.780328 vs 2025-09-23 10:31:40.798976),2025-09-23T10:31:40.798976,2025-09-23T17:13:35.780328,2526,2197,329
docs/htm/L1/XI2715.HTM,docs/htm/L1/XI2715.htm,keep_lowercase,docs/htm/L1/XI2715.htm,docs/htm/L1/XI2715.HTM,lowercase newer (2025-09-23 17:13:35.788520 vs 2025-09-23 10:31:40.810611),2025-09-23T10:31:40.810611,2025-09-23T17:13:35.788520,2471,2142,329
docs/htm/L1/XI2554.HTM,docs/htm/L1/XI2554.htm,keep_lowercase,docs/htm/L1/XI2554.htm,docs/htm/L1/XI2554.HTM,lowercase newer (2025-09-23 17:13:35.780328 vs 2025-09-23 10:31:40.806733),2025-09-23T10:31:40.806733,2025-09-23T17:13:35.780328,2410,2040,370
docs/htm/L1/XI2668.HTM,docs/htm/L1/XI2668.htm,keep_lowercase,docs/htm/L1/XI2668.htm,docs/htm/L1/XI2668.HTM,lowercase newer (2025-09-23 17:13:35.788520 vs 2025-09-23 10:31:40.810611),2025-09-23T10:31:40.810611,2025-09-23T17:13:35.788520,2573,2367,206
docs/htm/L1/XI2502.HTM,docs/htm/L1/XI2502.htm,keep_lowercase,docs/htm/L1/XI2502.htm,docs/htm/L1/XI2502.HTM,lowercase newer (2025-09-23 17:13:35.780328 vs 2025-09-23 10:31:40.798976),2025-09-23T10:31:40.798976,2025-09-23T17:13:35.780328,2566,2278,288
docs/htm/L1/XI2688.HTM,docs/htm/L1/XI2688.htm,keep_lowercase,docs/htm/L1/XI2688.htm,docs/htm/L1/XI2688.HTM,lowercase newer (2025-09-23 17:13:35.788520 vs 2025-09-23 10:31:40.810611),2025-09-23T10:31:40.810611,2025-09-23T17:13:35.788520,2488,2118,370
docs/htm/L1/XI2552.HTM,docs/htm/L1/XI2552.htm,keep_lowercase,docs/htm/L1/XI2552.htm,docs/htm/L1/XI2552.HTM,lowercase newer (2025-09-23 17:13:35.780328 vs 2025-09-23 10:31:40.806733),2025-09-23T10:31:40.806733,2025-09-23T17:13:35.780328,2499,2129,370
docs/htm/L1/XI2662.HTM,docs/htm/L1/XI2662.htm,keep_lowercase,docs/htm/L1/XI2662.htm,docs/htm/L1/XI2662.HTM,lowercase newer (2025-09-23 17:13:35.784424 vs 2025-09-23 10:31:40.810611),2025-09-23T10:31:40.810611,2025-09-23T17:13:35.784424,2439,2069,370
docs/htm/L1/XI2478.HTM,docs/htm/L1/XI2478.htm,keep_lowercase,docs/htm/L1/XI2478.htm,docs/htm/L1/XI2478.HTM,lowercase newer (2025-09-23 17:13:35.780328 vs 2025-09-23 10:31:40.798976),2025-09-23T10:31:40.798976,2025-09-23T17:13:35.780328,2434,2064,370
docs/htm/L1/XI2606.HTM,docs/htm/L1/XI2606.htm,keep_lowercase,docs/htm/L1/XI2606.htm,docs/htm/L1/XI2606.HTM,lowercase newer (2025-09-23 17:13:35.784424 vs 2025-09-23 10:31:40.806733),2025-09-23T10:31:40.806733,2025-09-23T17:13:35.784424,2514,2185,329
docs/htm/L1/XI2535.HTM,docs/htm/L1/XI2535.htm,keep_lowercase,docs/htm/L1/XI2535.htm,docs/htm/L1/XI2535.HTM,lowercase newer (2025-09-23 17:13:35.780328 vs 2025-09-23 10:31:40.806733),2025-09-23T10:31:40.806733,2025-09-23T17:13:35.780328,2432,2062,370
docs/htm/L1/XI2694.HTM,docs/htm/L1/XI2694.htm,keep_lowercase,docs/htm/L1/XI2694.htm,docs/htm/L1/XI2694.HTM,lowercase newer (2025-09-23 17:13:35.788520 vs 2025-09-23 10:31:40.810611),2025-09-23T10:31:40.810611,2025-09-23T17:13:35.788520,2599,2270,329
